Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
179-1-27426,Madrigal,Too Much I Once Lamented,Tomkins,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",1,(SSATB)
179-1-27427,Madrigal,Two Renaissance Madrigal Laments,Tudino,Kivell,E.C. Schirmer Music Company,1,(SATB) (sing one madrigal)
179-1-27430,Madrigal,Gentil senora mia,Vasquez,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",1,(SATTB)
179-1-27431,Madrigal,As Vesta Was From Latmos Hill Descending,Weelkes,King's Singers,"Hal Leonard Music, Inc. [king'singers English Renaissance, Volume 1]",1,(SSATTB)
179-1-27433,Madrigal,"Draw On, Sweet Night",Wilbye,Bartlett,Oxford University Press [Madrigals and Partsongs],1,(SSATTB)
179-2-27435,Madrigal,Alla cazza,Anon. or Trad.,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1]",2,(SATB)
179-2-27436,Madrigal,"O Sleep, Fond Fancy",Bennet,Greyson,"Bourne, Co.",2,(SATB)
179-2-27439,Madrigal,Parmi di star,Cornet,King's Singers,"Hal Leonard Music, Inc. [The King's Singers European Renaissance]",2,(SATB)
179-2-27440,Madrigal,"Matona, mia cara",de Lassus,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals,Volume 1]",2,(SATB)
179-2-27441,Madrigal,Or si rallegri il cielo,de Wert,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",2,(SAATB)
179-2-27443,Madrigal,Amor vittorioso (Tutti venite armati),Gastoldi,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2]",2,(SSATB)
179-2-27444,Madrigal,"Ach, weh des Leiden",Hassler,Bartlett,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 2];Oxford University Press [Madrigals and Partsongs]",2,(SSATB)
