Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
933-1-37887,Tenor-Bass Chorus,Three Latin Songs,Farnell,,BriLee Music,1,(TB or TTB) (sing one mvt) (a cappella)
933-2-37888,Tenor-Bass Chorus,Hine Ma Tov,Traditional Hebrew Song,Ginsberg,Santa Barbara Music Publishing,2,(two-part) (flute REQUIRED) (accomp)
933-2-37889,Tenor-Bass Chorus,I Want To Be Ready,Traditional Spiritual,Crocker,"Hal Leonard Music, Inc. [Music in the Air]",2,(TB) (divisi) (accomp)
933-2-37890,Tenor-Bass Chorus,Rain Music,Farnell,,"Hal Leonard Music, Inc.",2,(TB) (opt divisi) (opt percussion) (accomp)
933-2-37891,Tenor-Bass Chorus,Shady Grove,Estes,,Shawnee Press,2,(TB) (accomp)
933-2-37892,Tenor-Bass Chorus,Stopping by Woods,Gray,,"Alfred Music Company, Inc.",2,(TTB) (accomp)
933-1-37893,Tenor-Bass Chorus,The Colorado Trail,Traditional Folk Song,Crocker,"Hal Leonard Music, Inc. [Music in the Air]",1,(TB) (accomp)
933-2-37894,Tenor-Bass Chorus,Vive la Compagnie,Traditional,Snyder,"Hal Leonard Music, Inc.",2,(TB) (opt divisi) (opt solo) (accomp)
933-2-37895,Tenor-Bass Chorus,Wade in the Water,Traditional,Davison,BriLee Music,2,(TB) (opt solo) (accomp)
933-2-37896,Tenor-Bass Chorus,Wangolo,Traditional Haitian Folk Song,Gray,"Alfred Music Company, Inc.",2,(TTB) (opt solo) (opt percussion) (a cappella)
933-2-37897,Tenor-Bass Chorus,Wayfaring Stranger,Traditional Folk Song,Gilpin,Shawnee Press,2,(TB) (opt accomp) (a cappella)
933-2-37898,Tenor-Bass Chorus,We're The Men,Althouse,,Shawnee Press,2,(TB) (opt divisi) (opt instruments) (accomp)
933-3-37899,Tenor-Bass Chorus,Ad Astra (….to the stars),Narverud,Rotz,"Carl Fischer, Inc.",3,(TBB) (accomp)
933-3-37900,Tenor-Bass Chorus,Bar’bry Allen,Traditional Folk Song,Shank,Santa Barbara Music Publishing,3,(TB) (solo or soli) (accomp)
933-3-37901,Tenor-Bass Chorus,Bound for the Promised Land,Traditional,Crocker,"Hal Leonard Music, Inc.",3,(TBB) (a cappella)
933-3-37902,Tenor-Bass Chorus,Coventry Carol,Traditional,Reese,"Carl Fischer, Inc.",3,(TBB) (accomp)
933-3-37903,Tenor-Bass Chorus,My Lagan Love,Farnell,,Neil A. Kjos Music Company,3,(TB or TBB) (accomp)
933-3-37904,Tenor-Bass Chorus,Nine Hundred Miles,Traditional,Silvey,Santa Barbara Music Publishing,3,(TTB) (accomp)
933-3-37906,Tenor-Bass Chorus,Tell My Father,Traditional,Ramsey,"Hal Leonard Music, Inc.",3,(TTB) (solo) (opt violin) (accomp)
933-3-37907,Tenor-Bass Chorus,The Dying Rebel,Sirett,,"Boosey & Hawkes, Inc.",3,(TTB) (accomp)
933-3-37908,Tenor-Bass Chorus,Ubi Caritas,Reid,,BriLee Music,3,(TTB) (opt accomp) (a cappella)
933-3-37909,Tenor-Bass Chorus,Will the Rain Fall Down?,Ayres,,"Carl Fischer, Inc.",3,(TB or TBB) (opt percussion) (accomp)
933-3-37910,Tenor-Bass Chorus,Zum Gali Gali,Traditional Israeli Folk Song,Miner,"Hal Leonard Music, Inc.",3,(TBB) (piano & clarinet REQUIRED) (opt violin & tambourine) (accomp)
933-4-37911,Tenor-Bass Chorus,An die Musik,Schubert,Courtney,Beckenhorst Press,4,(TTBB) (accomp)
933-4-37913,Tenor-Bass Chorus,Simul Justus et Peccator,Whitehill,,Heritage Music Press,4,(TTB) (accomp)
933-4-37914,Tenor-Bass Chorus,Terminus,Cobb,,Santa Barbara Music Publishing,4,(TBB) (accomp)
933-5-37916,Tenor-Bass Chorus,Ain’a that Good News,Traditional Spiritual,Dawson,Neil A. Kjos Music Company,5,(TTBB) (a cappella)
933-5-37917,Tenor-Bass Chorus,Io Vivat!,Ayres,,Shawnee Press,5,(TTBB) (opt percussion) (accomp)
933-5-37918,Tenor-Bass Chorus,Sing Me to Heaven,Gawthrop,Holloway,Dunston House,5,(TTBB) (a cappella)
